jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_17,17-loom,2Gb,1,1,1,0.95,6.1,123.57,3150.0,1070.0,4530.0,188005.0,60000.0,31992053.76,0,0,0,0,3132.75,533166.08,3739,1095,805904,805927,808880,60
sb_jdbc_17,17-loom,2Gb,1,1,5,2.51,5.38,132.28,2840.0,768.68,3900.0,169872.0,60000.0,28909240.32,0,0,0,0,2831.03,481812.48,4981,1018,808144,808167,811176,60
sb_jdbc_17,17-loom,2Gb,1,1,100,110.6,106.31,1190.0,1090.0,306.11,1840.0,64880.0,60000.0,11041505.28,0,0,0,0,1080.51,183879.68,5551,448,838460,838485,841384,60
sb_jdbc_17,17-loom,2Gb,1,2,1,0.41752999999999996,1.88,62.85,3530.0,870.0,4740.0,210886.0,60000.0,35892756.48,0,0,0,0,3514.62,598159.36,3811,1148,1609084,1609111,1612132,60
sb_jdbc_17,17-loom,2Gb,1,2,5,1.05,2.28,56.35,7220.0,2470.0,9940.0,431242.0,60000.0,73389834.24,0,0,0,0,7187.3,1226833.92,8687,2905,1589344,1589373,1592468,60
sb_jdbc_17,17-loom,2Gb,1,2,100,19.3,25.55,482.01,8039.999999999999,2770.0,10760.0,479995.0,60000.0,81694556.16,0,0,0,0,7994.52,1363148.8,8726,2845,1623888,1623914,1626844,60
sb_jdbc_17,17-loom,2Gb,1,4,1,0.36056,1.25,49.26,3470.0,848.3,4570.0,207441.0,60000.0,35305553.92,0,0,0,0,3457.2,588380.16,4457,1249,1652068,1652096,1655220,60
sb_jdbc_17,17-loom,2Gb,1,4,5,0.49979,1.33,48.84,12840.0,2870.0,14440.0,766250.0,60000.0,130411397.12,0,0,0,0,12770.64,2170552.32,11751,5083,1642268,1642292,1645136,60
sb_jdbc_17,17-loom,2Gb,1,4,100,8.9,9.02,190.92,13660.0,3100.0,15690.0,815348.0,60000.0,138758062.08,0,0,0,0,13582.46,2306867.2,13910,5811,1717000,1717025,1719968,60
sb_jdbc_17,17-loom,2Gb,2,1,5,1.99,4.84,124.13,1430.0,396.27,2390.0,170783.0,60000.0,29066526.72,0,0,0,0,2845.77,484321.28,4945,1056,806496,806558,809440,60
