jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_17,17-loom,100Mb,1,2,1,0.36813999999999997,1.36,48.46,3640.0,880.0,4750.0,217286.0,60000.0,36983275.52,0,0,0,0,3621.43,616335.36,3724,1165,320436,320464,323408,60
sb_jdbc_17,17-loom,100Mb,1,2,5,1.1,2.51,63.72,6950.0,2330.0,9780.0,415009.0,60000.0,70632079.36,0,0,0,0,6916.73,1174405.12,8816,2822,317348,317377,320480,60
sb_jdbc_17,17-loom,100Mb,1,2,100,21.16,29.36,455.89,7900.0,2860.0,10850.0,471933.0,60000.0,80320921.6,0,0,0,0,7860.4,1342177.28,8770,2772,341812,341890,344916,60
sb_jdbc_17,17-loom,100Mb,1,4,1,0.32091000000000003,0.8412000000000001,36.03,3650.0,843.13,4740.0,217743.0,60000.0,37056675.84,0,0,0,0,3628.99,617615.36,4272,1248,381132,381162,384252,60
sb_jdbc_17,17-loom,100Mb,1,4,5,0.54103,1.55,47.75,12390.0,2700.0,14040.0,739921.0,60000.0,125923491.84,0,0,0,0,12329.31,2097152.0,12585,5008,342764,342793,345780,60
sb_jdbc_17,17-loom,100Mb,1,4,100,9.83,10.38,224.09,12580.0,2800.0,14140.0,751111.0,60000.0,127831900.16,0,0,0,0,12507.35,2128609.28,14620,5502,401560,401590,404616,60
sb_jdbc_17,17-loom,100Mb,2,1,5,1.84,2.39,57.82,1340.0,350.59,2140.0,160470.0,60000.0,27315404.8,0,0,0,0,2674.06,455096.32,4999,1001,261060,261082,263956,60
sb_jdbc_17,17-loom,100Mb,2,1,100,107.31,103.21,813.95,556.91,195.3,1240.0,66550.0,60000.0,11324620.8,0,0,0,0,1108.11,188579.84,5573,428,288272,288295,291292,60
sb_jdbc_17,17-loom,100Mb,2,2,5,0.77651,2.37,66.43,3770.0,1090.0,6460.0,450187.0,60000.0,76619448.32,0,0,0,0,7490.74,1279262.72,8098,3000,303988,304016,307092,60
sb_jdbc_17,17-loom,100Mb,2,2,100,20.27,26.05,465.12,3830.0,1420.0,5530.0,457123.0,60000.0,77793853.44,0,0,0,0,7615.5,1300234.24,8928,2654,339860,340043,343048,60
sb_jdbc_17,17-loom,100Mb,2,4,5,0.42313999999999996,1.05,40.04,5620.0,1200.0,6260.0,671335.0,60000.0,114252840.96,0,0,0,0,11186.74,1908408.32,10739,4292,363500,363529,366572,60
sb_jdbc_17,17-loom,100Mb,2,4,100,9.55,9.38,184.36,6250.0,1340.0,7370.0,746253.0,60000.0,127003525.12,0,0,0,0,12432.64,2118123.52,14870,5511,392364,392429,395440,60
sb_jdbc_17,17-loom,100Mb,4,1,5,1.88,2.79,80.11,674.29,195.13,1170.0,161126.0,60000.0,27420262.4,0,0,0,0,2684.31,456847.36,4997,1004,251136,251160,254120,60
sb_jdbc_17,17-loom,100Mb,4,1,100,108.81,101.77,821.96,263.39,115.9,1000.0,62885.0,60000.0,10705960.96,0,0,0,0,1046.92,178165.76,5586,421,258180,258201,261076,60
sb_jdbc_17,17-loom,100Mb,4,2,5,0.75051,1.85,56.72,1810.0,537.03,2440.0,431693.0,60000.0,73473720.32,0,0,0,0,7194.27,1226833.92,8252,2908,311020,311049,314148,60
