jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_211,17-loom,100Mb,4,4,100,8.29,7.41,166.81,3440.0,546.86,4170.0,1644695.0,120000.0,279906877.44,0,0,0,0,13699.73,2327838.72,27403,11993,387340,387369,390280,120
sb_jdbc_211,17,100Mb,4,4,100,8.45,7.36,202.9,3360.0,527.66,3990.0,1605579.0,120000.0,273248419.84,0,0,0,0,13376.55,2275409.92,27699,11764,389652,389682,392668,120
sb_jdbc_197,17-loom,100Mb,4,4,100,7.95,3.61,161.98,3250.0,566.52,4310.0,1552322.0,120000.0,264188723.2,0,0,0,0,12932.32,2202009.6,27008,12366,402208,403489,406780,120
sb_jdbc_197,17,100Mb,4,4,100,7.77,2.59,86.68,3270.0,480.39,3820.0,1564277.0,120000.0,266222960.64,0,0,0,0,13030.38,2212495.36,27311,12120,369992,370333,373452,120
sb_jdbc_211,17-loom,100Mb,4,4,100,8.91,8.42,243.88,3250.0,557.85,3920.0,1554478.0,120000.0,264555724.8,0,0,0,0,12945.0,2202009.6,28267,11570,395164,395198,398292,120
sb_jdbc_211,17,100Mb,4,4,100,8.41,7.3,183.28,3380.0,521.64,4070.0000000000005,1614067.0,120000.0,274695454.72,0,0,0,0,13446.8,2285895.68,27586,11885,374592,374646,377756,120
sb_jdbc_197,17-loom,100Mb,4,4,100,8.03,3.81,148.37,3230.0,567.34,3570.0,1542397.0,120000.0,262500515.84,0,0,0,0,12847.05,2191523.84,27532,11993,426024,426056,429052,120
sb_jdbc_197,17,100Mb,4,4,100,7.73,2.98,144.04,3310.0,502.53,3720.0,1581406.0,120000.0,269138001.92,0,0,0,0,13174.65,2243952.64,26961,12244,371776,372221,375240,120
sb_jdbc_211,17-loom,100Mb,4,4,100,8.5,7.87,194.9,3380.0,541.08,4760.0,1615513.0,120000.0,274947112.96,0,0,0,0,13454.13,2285895.68,27368,12014,397244,397283,400372,120
sb_jdbc_211,17,100Mb,4,4,100,8.17,7.13,213.38,3440.0,484.25,6060.0,1643626.0,120000.0,279728619.52,0,0,0,0,13688.26,2327838.72,27131,12107,363788,363820,366940,120
sb_jdbc_197,17-loom,100Mb,4,4,100,7.74,3.03,113.67,3310.0,515.75,3770.0,1583279.0,120000.0,269463060.48,0,0,0,0,13187.94,2243952.64,26515,12472,423284,423317,426400,120
sb_jdbc_197,17,100Mb,4,4,100,7.77,2.76,103.07,3280.0,481.32,4030.0000000000005,1566850.0,120000.0,266663362.56,0,0,0,0,13050.31,2222981.12,27245,12036,353572,353601,356568,120
sb_jdbc_211,17-loom,100Mb,4,4,100,8.68,8.81,242.33,3370.0,554.96,4110.0,1611349.0,120000.0,274234081.28,0,0,0,0,13422.42,2285895.68,27436,11995,411496,411527,414616,120
sb_jdbc_211,17,100Mb,4,4,100,8.5,7.49,195.24,3340.0,521.99,4170.0,1595272.0,120000.0,271497297.92,0,0,0,0,13288.74,2264924.16,27635,11909,369012,369093,372116,120
sb_jdbc_197,17-loom,100Mb,4,4,100,7.79,3.33,104.95,3320.0,572.61,3740.0,1583951.0,120000.0,269567918.08,0,0,0,0,13195.97,2243952.64,26755,12355,373424,373457,376552,120
sb_jdbc_197,17,100Mb,4,4,100,7.72,2.77,119.51,3300.0,493.5,3810.0,1578237.0,120000.0,268603228.16,0,0,0,0,13147.71,2233466.88,27074,12122,339464,339497,342616,120
sb_jdbc_211,17-loom,100Mb,4,4,100,8.68,7.96,191.38,3320.0,567.96,3960.0,1584589.0,120000.0,269683261.44,0,0,0,0,13200.71,2243952.64,27458,12005,369416,369448,372492,120
sb_jdbc_211,17,100Mb,4,4,100,8.62,7.8,209.26,3320.0,533.8,3990.0,1585258.0,120000.0,269798604.8,0,0,0,0,13205.8,2243952.64,27628,11778,366792,366831,369936,120
sb_jdbc_197,17-loom,100Mb,4,4,100,7.66,2.83,122.91,3340.0,522.58,4059.9999999999995,1596001.0,120000.0,271623127.04,0,0,0,0,13294.1,2264924.16,26423,12453,380748,380779,383844,120
sb_jdbc_197,17,100Mb,4,4,100,10.53,7.96,124.42,2690.0,940.0,7980.0,1284022.0,120000.0,218523238.4,0,0,0,0,10691.51,1824522.24,24229,10516,343340,343373,346376,120
