jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_211,17-loom,500Mb,4,4,100,8.66,8.22,274.09,3350.0,568.32,3990.0,1598648.0,120000.0,272074014.72,0,0,0,0,13317.09,2264924.16,27604,11825,679112,679148,682132,120
sb_jdbc_211,17,500Mb,4,4,100,8.65,7.82,216.33,3320.0,602.54,4010.0,1586838.0,120000.0,270060748.8,0,0,0,0,13219.63,2254438.4,27111,11843,724036,724071,727188,120
sb_jdbc_197,17-loom,500Mb,4,4,100,8.12,3.3,111.02,3170.0,515.89,3560.0,1512518.0,120000.0,257414922.24,0,0,0,0,12600.06,2149580.8,27157,12140,695852,695884,698936,120
sb_jdbc_197,17,500Mb,4,4,100,7.83,2.6,108.6,3240.0,475.4,3900.0,1549897.0,120000.0,263779778.56,0,0,0,0,12909.86,2202009.6,26644,12368,704704,704737,707724,120
sb_jdbc_211,17-loom,500Mb,4,4,100,8.96,8.29,211.73,3210.0,535.36,3870.0,1535425.0,120000.0,261315624.96,0,0,0,0,12790.89,2181038.08,28002,11729,694368,694404,697472,120
sb_jdbc_211,17,500Mb,4,4,100,8.92,7.87,220.81,3190.0,531.71,3890.0,1525971.0,120000.0,259700817.92,0,0,0,0,12709.91,2160066.56,26097,11828,688604,688638,691748,120
sb_jdbc_197,17-loom,500Mb,4,4,100,8.3,3.55,132.53,3110.0,527.7,3620.0,1485026.0,120000.0,252738273.28,0,0,0,0,12368.93,2107637.76,25426,12061,699012,699041,702072,120
sb_jdbc_197,17,500Mb,4,4,100,8.04,2.65,93.08,3160.0,478.44,3580.0,1510298.0,120000.0,257037434.88,0,0,0,0,12580.85,2139095.04,26301,12045,713068,713096,716108,120
sb_jdbc_211,17-loom,500Mb,4,4,100,9.17,8.52,279.65,3150.0,570.5,3960.0,1503796.0,120000.0,255925944.32,0,0,0,0,12525.5,2128609.28,27051,11822,687396,687426,690452,120
sb_jdbc_211,17,500Mb,4,4,100,8.8,7.54,194.33,3190.0,468.87,3920.0,1524295.0,120000.0,259417702.4,0,0,0,0,12697.48,2160066.56,26470,11820,669248,669279,672360,120
sb_jdbc_197,17-loom,500Mb,4,4,100,8.13,3.63,116.21,3180.0,531.3,3510.0,1519050.0,120000.0,258526412.8,0,0,0,0,12654.1,2149580.8,26782,12291,705296,705330,708380,120
sb_jdbc_197,17,500Mb,4,4,100,7.66,2.33,96.75,3320.0,465.68,3670.0,1584480.0,120000.0,269662289.92,0,0,0,0,13199.92,2243952.64,25815,12624,679848,679888,682868,120
sb_jdbc_211,17-loom,500Mb,4,4,100,9.25,8.54,210.03,3100.0,538.47,3850.0,1482463.0,120000.0,252297871.36,0,0,0,0,12348.43,2097152.0,27502,11534,678500,678531,681464,120
sb_jdbc_211,17,500Mb,4,4,100,8.63,8.13,219.12,3330.0,548.59,3990.0,1589544.0,120000.0,270522122.24,0,0,0,0,13242.27,2254438.4,26945,12105,713292,713327,716448,120
sb_jdbc_197,17-loom,500Mb,4,4,100,7.74,2.92,108.16,3310.0,524.12,3870.0,1582137.0,120000.0,269263831.04,0,0,0,0,13179.3,2243952.64,25975,12474,715240,715276,718364,120
sb_jdbc_197,17,500Mb,4,4,100,7.85,2.74,119.03,3250.0,485.89,3740.0,1550556.0,120000.0,263884636.16,0,0,0,0,12917.23,2202009.6,26673,12321,708872,708903,711952,120
sb_jdbc_211,17-loom,500Mb,4,4,100,9.07,8.77,230.47,3230.0,587.62,3920.0,1542133.0,120000.0,262458572.8,0,0,0,0,12846.32,2191523.84,27198,11969,681308,681496,684568,120
sb_jdbc_211,17,500Mb,4,4,100,8.91,7.71,185.24,3190.0,545.62,4210.0,1521761.0,120000.0,258987786.24,0,0,0,0,12673.82,2160066.56,26208,11725,677336,677368,680360,120
sb_jdbc_197,17-loom,500Mb,4,4,100,8.01,3.57,126.0,3230.0,603.42,3670.0,1544574.0,120000.0,262867517.44,0,0,0,0,12867.02,2191523.84,25897,12641,682888,682943,686068,120
sb_jdbc_197,17,500Mb,4,4,100,7.83,2.78,91.43,3260.0,538.9,3680.0,1558499.0,120000.0,265237299.2,0,0,0,0,12982.34,2212495.36,26361,12418,716552,716589,719652,120
