jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_211,17-loom,500Mb,4,4,4,0.43987,1.1,44.06,2820.0,621.54,3320.0,672642.0,60000.0,114473041.92,0,0,0,0,11192.02,1908408.32,10720,4348,624032,624063,627036,60
sb_jdbc_211,17-loom,500Mb,4,4,100,9.44,9.65,176.52,3250.0,760.87,4030.0000000000005,776661.0,60000.0,132183490.56,0,0,0,0,12938.27,2202009.6,14707,5710,693504,693543,696632,60
sb_jdbc_211,17-loom-agent,500Mb,4,4,4,0.29623,0.53977,38.41,3500.0,796.18,4470.0,209990.0,60000.0,35735470.08,0,0,0,0,3495.79,594954.24,3961,1183,642888,642921,646004,60
sb_jdbc_211,17-loom-agent,500Mb,4,4,100,28.02,36.78,179.66,728.0,183.07,1170.0,1739.0,60000.0,295680.0,0.0,1.0,0.0,0.0,28.96,4925.44,240,21,696672,696705,699800,60
sb_jdbc_211,17,500Mb,4,4,4,0.37160000000000004,0.47176,18.21,2970.0,540.45,3300.0,710720.0,60000.0,120953241.6,0,0,0,0,11825.63,2013265.92,10303,4467,618412,618446,621560,60
sb_jdbc_211,17,500Mb,4,4,100,8.79,8.47,180.9,3410.0,738.82,4190.0,814249.0,60000.0,138579804.16,0,0,0,0,13564.66,2306867.2,14387,5778,676732,676767,679880,60
sb_jdbc_197,17-loom,500Mb,4,4,4,0.42373,1.01,36.07,2830.0,582.73,3580.0,677116.0,60000.0,115238502.4,0,0,0,0,11266.45,1918894.08,10513,4457,624980,625011,628024,60
sb_jdbc_197,17-loom,500Mb,4,4,100,8.29,4.31,165.12,3150.0,735.51,4110.0,752590.0,60000.0,128083558.4,0,0,0,0,12533.84,2128609.28,14354,5747,674100,674134,677176,60
sb_jdbc_197,17-loom-agent,500Mb,4,4,4,0.28225,0.61638,42.69,3720.0,890.0,4770.0,223229.0,60000.0,37989908.48,0,0,0,0,3716.0,632422.4,4028,1273,646816,646858,649936,60
sb_jdbc_197,17-loom-agent,500Mb,4,4,100,32.67,17.4,184.11,604.0,248.65,1260.0,962.0,60000.0,178053.12,0,0,0,0,16.01,2959.36,187,8,681448,681490,684600,60
sb_jdbc_197,17,500Mb,4,4,4,0.37773,0.48158,16.74,2960.0,581.04,4280.0,706308.0,60000.0,120208752.64,0,0,0,0,11752.37,2002780.16,10194,4491,616284,616327,619408,60
sb_jdbc_197,17,500Mb,4,4,100,7.84,3.56,90.74,3300.0,759.29,3850.0,788563.0,60000.0,134207242.24,0,0,0,0,13132.42,2233466.88,13892,6043,681344,681399,684516,60
sb_jdbc_211,17-loom,500Mb,4,4,4,0.43013,1.11,41.83,2850.0,616.23,3380.0,681391.0,60000.0,115962019.84,0,0,0,0,11337.64,1929379.84,10680,4426,637580,637622,640656,60
