jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_211,17-loom,500Mb,4,4,4,0.45248,1.14,38.85,2760.0,597.79,3170.0,658500.0,60000.0,112071802.88,0,0,0,0,10973.69,1866465.28,10715,4320,618996,619036,622076,60
sb_jdbc_211,17-loom,500Mb,4,4,100,9.02,8.89,187.68,3340.0,755.88,4310.0,797389.0,60000.0,135706705.92,0,0,0,0,13282.43,2264924.16,14323,5844,709956,710003,713088,60
sb_jdbc_211,17-loom-agent,500Mb,4,4,4,0.3095,0.69753,48.46,3420.0,749.51,4570.0,205711.0,60000.0,35011952.64,0,0,0,0,3422.87,582533.12,3984,1206,642052,642095,645152,60
sb_jdbc_211,17-loom-agent,500Mb,4,4,100,19.83,29.44,246.46,810.5,307.36,1540.0,2908.0,60000.0,494858.24,0.0,3.0,0.0,0.0,48.4,8232.96,345,36,679764,679819,682880,60
sb_jdbc_211,17-loom-agent-static,500Mb,4,4,4,0.30617,0.53853,36.81,3390.0,760.91,4440.0,203983.0,60000.0,34718351.36,0,0,0,0,3394.13,577648.64,3943,1189,625236,625278,628388,60
sb_jdbc_211,17-loom-agent-static,500Mb,4,4,100,31.89,39.21,160.49,507.88,208.03,940.0,405.0,60000.0,68935.68,0.0,1.0,0.0,0.0,6.74,1146.88,93,3,692120,692160,695192,60
sb_jdbc_211,17,500Mb,4,4,4,0.39597000000000004,0.5864199999999999,21.63,2900.0,587.53,3250.0,691725.0,60000.0,117723627.52,0,0,0,0,11528.46,1960837.12,10607,4424,619136,619182,622216,60
sb_jdbc_211,17,500Mb,4,4,100,8.4,7.64,135.1,3480.0,683.58,4260.0,831030.0,60000.0,141431930.88,0,0,0,0,13841.19,2359296.0,13943,6032,667640,667912,670924,60
sb_jdbc_197,17-loom,500Mb,4,4,4,0.42255000000000004,1.01,38.49,2850.0,606.74,4059.9999999999995,681400.0,60000.0,115972505.6,0,0,0,0,11337.87,1929379.84,10458,4469,629288,629341,632384,60
sb_jdbc_197,17-loom,500Mb,4,4,100,8.18,4.07,118.49,3180.0,695.63,3880.0,759336.0,60000.0,129226506.24,0,0,0,0,12647.45,2149580.8,14218,5961,697780,697821,700916,60
sb_jdbc_197,17-loom-agent,500Mb,4,4,4,0.28367000000000003,0.57565,44.59,3700.0,850.0,4720.0,223450.0,60000.0,38031851.52,0,0,0,0,3717.99,632770.56,4036,1266,637612,637658,640732,60
sb_jdbc_197,17-loom-agent,500Mb,4,4,100,30.02,16.08,111.32,584.75,141.98,747.0,466.0,60000.0,79769.6,0.0,3.0,0.0,0.0,7.77,1331.2,86,8,672772,672811,675808,60
sb_jdbc_197,17-loom-agent-static,500Mb,4,4,4,0.28748,0.57856,43.22,3680.0,890.0,4730.0,225603.0,60000.0,38398853.12,0,0,0,0,3755.67,639180.8,4075,1294,659960,660001,663096,60
sb_jdbc_197,17-loom-agent-static,500Mb,4,4,100,29.27,11.25,81.07,599.92,226.62,910.0,717.0,60000.0,121702.4,0.0,3.0,0.0,0.0,11.93,2027.52,131,12,686808,686847,689792,60
sb_jdbc_197,17,500Mb,4,4,4,0.42421,1.78,102.7,2950.0,549.47,3590.0,704917.0,60000.0,119967580.16,0,0,0,0,11729.05,1992294.4,10047,4591,631892,631931,634912,60
sb_jdbc_197,17,500Mb,4,4,100,7.38,2.84,87.68,3470.0,698.12,3970.0,827954.0,60000.0,140907642.88,0,0,0,0,13793.27,2348810.24,13411,6224,675520,675562,678596,60
sb_jdbc_211,17-loom,500Mb,4,4,4,0.42495,0.95,35.24,2820.0,620.55,3370.0,673995.0,60000.0,114703728.64,0,0,0,0,11214.57,1908408.32,10817,4405,625472,625512,628520,60
sb_jdbc_211,17-loom,500Mb,4,4,100,9.4,9.44,174.85,3240.0,748.87,4040.0,772959.0,60000.0,131554344.96,0,0,0,0,12870.04,2191523.84,14787,5667,695732,695834,698908,60
sb_jdbc_211,17-loom-agent,500Mb,4,4,4,0.30301999999999996,0.76578,51.1,3520.0,860.0,4640.0,210969.0,60000.0,35903242.24,0,0,0,0,3512.09,597729.28,4015,1225,671248,671288,674332,60
